@relation 'weka_v3-weka.filters.unsupervised.attribute.Remove-V-R12,39,41,110,120-121,160,207,297,1'

@attribute lowLevel.barkbands.mean.17 numeric
@attribute lowLevel.barkbands.stdev.17 numeric
@attribute lowLevel.barkbands.stdev.19 numeric
@attribute lowLevel.sccoeffs.stdev.5 numeric
@attribute lowLevel.scvalleys.stdev.3 numeric
@attribute lowLevel.scvalleys.stdev.4 numeric
@attribute lowLevel.spectral_spread.stdev numeric
@attribute tonal.chords_histogram.19 numeric
@attribute tonal.key_key {E,F,G#,C#,D,G,A,B,C,F#,D#,A#}
@attribute Performance_Level.0 {low,high,mid}

@data
0.000026,0.000091,0.000129,0.046401,1.18789,1.423759,9553799,0,E,low
0.000021,0.000034,0.000077,0.037976,1.008926,1.582559,10651003,0,F,high
0.000023,0.000037,0.000125,0.039497,1.077725,1.506551,10333936,0,E,low
0.000046,0.000073,0.000155,0.033979,1.008465,1.401113,11119247,0,G#,low
0.000029,0.000054,0.00013,0.038958,0.998441,1.302385,10118069,0,C#,low
0.000021,0.000037,0.000166,0.037207,0.804941,1.560134,11489739,0,D,high
0.000015,0.000021,0.000079,0.037159,0.831604,1.24823,9925377,0,G,low
0.000018,0.000032,0.000135,0.034739,0.8654,1.340015,11321999,0,D,low
0.000027,0.000034,0.000119,0.033949,1.081709,1.400826,11835812,0,G#,mid
0.000009,0.000015,0.000047,0.029065,0.738121,1.14347,9652035,0,A,mid
0.000012,0.000021,0.000062,0.035999,0.869439,1.085221,8735832,0,G,mid
0.000039,0.000054,0.000093,0.031021,0.85198,1.293174,10268895,0,E,mid
0.000026,0.000038,0.000134,0.037305,0.934802,1.230588,11563708,0,B,mid
0.000032,0.000048,0.000156,0.03724,1.122795,1.405662,10972452,78.571426,D,mid
0.000094,0.00016,0.000385,0.038618,0.950553,1.336391,12098201,0,G,high
0.000034,0.00005,0.000091,0.030588,0.785693,0.963865,10998283,0,C,mid
0.000037,0.0001,0.000204,0.040493,1.33568,1.492259,11305784,0,C,high
0.000047,0.000098,0.000235,0.041039,0.980206,1.365325,9946783,0,F,high
0.000032,0.000056,0.000141,0.037372,0.834643,1.23564,13154825,0,G,high
0.000047,0.000077,0.000158,0.035158,1.071975,1.335635,9046274,0,F#,high
0.000044,0.000106,0.000249,0.049701,1.153048,1.548177,11799239,0,D#,mid
0.000013,0.000017,0.000026,0.032591,0.721127,1.124236,10093941,0,G,low
0.000041,0.000119,0.000307,0.028499,0.905982,1.011317,9266319,0,B,mid
0.000005,0.000008,0.000023,0.032133,0.971407,1.26554,9537242,3.030303,F,low
0.000021,0.000021,0.000106,0.023342,0.602845,0.523272,7268257.5,0,D,low
0.000097,0.000172,0.000198,0.036907,1.448268,1.549746,6763363,0,D#,low
0.000026,0.000053,0.000065,0.030017,1.281415,1.226565,11180897,0,D,high
0.000025,0.000041,0.000414,0.038542,1.043202,1.420301,10694536,5.882353,F,low
0.000007,0.000012,0.000026,0.030956,1.038472,1.092677,8851147,0,D,low
0.000021,0.00005,0.000217,0.043594,0.780749,1.311942,9846030,0,G,mid
0.000007,0.000018,0.000048,0.030725,1.003228,1.154911,9497824,0,A#,low
0.000018,0.000041,0.000102,0.035529,1.153345,1.286982,10423735,74,D,mid
0.000064,0.000116,0.000375,0.028249,0.80844,0.950281,10074175,0,G,high
0.000065,0.000242,0.000231,0.03607,1.023443,1.042593,10202646,0,G,high
0.000015,0.000034,0.000091,0.039881,1.266853,1.455601,11684122,0,C#,mid
0.000035,0.000064,0.000196,0.037798,0.977615,1.23113,11621773,0,D,high
0.00002,0.000037,0.000108,0.035319,0.965372,1.275103,11544853,0,G,mid
0.000025,0.000051,0.00011,0.039966,1.022977,1.311112,10514227,0,G,mid
0.000012,0.000019,0.00002,0.017163,0.527804,0.361362,6660599.5,0,F,low
0.000019,0.00006,0.00008,0.020044,0.468972,0.349155,5850128,0,D,mid
0.000013,0.00002,0.000053,0.024083,0.58496,0.522247,4585660.5,90.625,G,mid
0.000043,0.00005,0.000011,0.021083,0.745541,0.582197,7279059,0,F,mid
0.000039,0.000058,0.000062,0.021598,0.567161,0.395218,5260335.5,0,G,mid
0.000011,0.000017,0.000022,0.018179,0.504854,0.282224,5906663.5,0,D,low
0.000011,0.000017,0.000042,0.017821,0.569683,0.362982,6919899,0,C,mid
0.000012,0.000012,0.000018,0.015337,0.464418,0.323293,7719543.5,0,A#,low
0.000013,0.000012,0.000029,0.018021,0.589459,0.409862,7374101.5,0,D#,low
0.000013,0.000016,0.000028,0.01549,0.496505,0.353832,6174216,0,F#,low
0.000012,0.00002,0.000027,0.018044,0.554487,0.299475,6283012.5,0,A,low
0.000006,0.000009,0.000013,0.015892,0.507318,0.360783,4779922.5,0,A,high
0.00002,0.000031,0.00005,0.018904,0.664507,0.469485,6278557,0,C#,high
0.000017,0.000041,0.000043,0.020505,0.721196,0.648863,6348622.5,0,C#,high
0.000085,0.000141,0.000383,0.032792,0.814164,0.763952,6276872,0,D,mid
0.000006,0.000006,0.000011,0.01877,0.584755,0.329495,5545815,0,C,low
0.000016,0.000016,0.000029,0.017864,0.567636,0.236306,5355777.5,0,G,low
0.000012,0.00001,0.000032,0.019674,0.700575,0.510481,6552946,0,A,low
0.000013,0.000009,0.000031,0.015408,0.462268,0.222817,5882924.5,0,A#,low
0.000035,0.000092,0.000246,0.032803,0.837619,0.7852,5070321,0,E,mid
0.000016,0.00001,0.000037,0.018961,0.515714,0.2189,5385028,0,A,low
0.000019,0.000015,0.000058,0.02052,0.457887,0.258287,5761541,0,F,low
0.000039,0.000062,0.000176,0.02588,0.463981,0.368351,6736139.5,0,C,mid
0.000045,0.000072,0.000219,0.021902,0.504228,0.353696,6170010,0,D,mid
0.000172,0.00046,0.001179,0.033609,0.627855,0.55537,5595355,0,G,mid
0.000019,0.000019,0.000115,0.018092,0.514916,0.31012,5524102,0,A#,low
0.000017,0.000016,0.000067,0.018152,0.608372,0.258966,6010482,0,C,low
0.00002,0.000021,0.000045,0.016714,0.743915,0.41882,5631124.5,0,B,low
0.000015,0.000011,0.000045,0.015071,0.486048,0.230574,4298698.5,0,C,low
0.000009,0.000012,0.000023,0.01828,0.566757,0.413255,6249956.5,0,C,low
0.000012,0.000023,0.000064,0.017625,0.593433,0.381157,6265275,0,F#,low
0.000012,0.000016,0.000045,0.019797,0.493471,0.327956,6443344,0,F#,low
0.000011,0.000013,0.000035,0.018924,0.431142,0.307782,7997787.5,0,D,low
0.000018,0.000019,0.000051,0.018117,0.52146,0.273006,6347160,0,G,low
0.000024,0.000025,0.000057,0.017609,0.721123,0.386216,7549941,0,C,low
0.000022,0.000021,0.000054,0.019012,0.514156,0.286304,6339696,0,G,low
0.000078,0.000147,0.000224,0.024376,0.495685,0.49508,7179939.5,0,F,high
0.000064,0.000155,0.000215,0.020707,0.547802,0.450734,7708955.5,0,A,mid
