@relation 'weka_v3-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-13,339'

@attribute lowLevel.barkbands.stdev.17 numeric
@attribute tonal.key_key {E,F,G#,C#,D,G,A,B,C,F#,D#,A#}
@attribute lowLevel.sccoeffs.stdev.5 numeric
@attribute lowLevel.scvalleys.stdev.3 numeric
@attribute lowLevel.barkbands.stdev.19 numeric
@attribute lowLevel.scvalleys.stdev.4 numeric
@attribute lowLevel.spectral_complexity.stdev numeric
@attribute lowLevel.spectral_spread.stdev numeric
@attribute lowLevel.barkbands.mean.17 numeric
@attribute tonal.chords_key {C,F,E,D,A,G,C#,B,A#,G#,D#}
@attribute tonal.chords_histogram.19 numeric
@attribute tonal.chords_scale {major,minor}
@attribute tonal.key_scale {minor,major}
@attribute Performance_Level.0 {low,high,mid}

@data
0.000091,E,0.046401,1.18789,0.000129,1.423759,5.176617,9553799,0.000026,C,0,major,minor,low
0.000034,F,0.037976,1.008926,0.000077,1.582559,4.190019,10651003,0.000021,F,0,minor,major,high
0.000037,E,0.039497,1.077725,0.000125,1.506551,4.542171,10333936,0.000023,E,0,major,major,low
0.000073,G#,0.033979,1.008465,0.000155,1.401113,5.300334,11119247,0.000046,D,0,minor,minor,low
0.000054,C#,0.038958,0.998441,0.00013,1.302385,4.449588,10118069,0.000029,A,0,major,minor,low
0.000037,D,0.037207,0.804941,0.000166,1.560134,3.977993,11489739,0.000021,A,0,major,minor,high
0.000021,G,0.037159,0.831604,0.000079,1.24823,3.062492,9925377,0.000015,G,0,major,major,low
0.000032,D,0.034739,0.8654,0.000135,1.340015,3.604299,11321999,0.000018,D,0,minor,minor,low
0.000034,G#,0.033949,1.081709,0.000119,1.400826,4.694081,11835812,0.000027,C#,0,minor,minor,mid
0.000015,A,0.029065,0.738121,0.000047,1.14347,3.136842,9652035,0.000009,D,0,minor,minor,mid
0.000021,G,0.035999,0.869439,0.000062,1.085221,3.315241,8735832,0.000012,B,0,minor,major,mid
0.000054,E,0.031021,0.85198,0.000093,1.293174,4.298611,10268895,0.000039,A,0,minor,minor,mid
0.000038,B,0.037305,0.934802,0.000134,1.230588,4.517598,11563708,0.000026,D,0,major,minor,mid
0.000048,D,0.03724,1.122795,0.000156,1.405662,4.869097,10972452,0.000032,A,78.571426,minor,major,mid
0.00016,G,0.038618,0.950553,0.000385,1.336391,6.700897,12098201,0.000094,C,0,major,major,high
0.00005,C,0.030588,0.785693,0.000091,0.963865,4.23144,10998283,0.000034,E,0,minor,major,mid
0.0001,C,0.040493,1.33568,0.000204,1.492259,6.193367,11305784,0.000037,C,0,minor,minor,high
0.000098,F,0.041039,0.980206,0.000235,1.365325,5.794663,9946783,0.000047,F,0,major,major,high
0.000056,G,0.037372,0.834643,0.000141,1.23564,3.85515,13154825,0.000032,G,0,minor,minor,high
0.000077,F#,0.035158,1.071975,0.000158,1.335635,5.06344,9046274,0.000047,A#,0,minor,major,high
0.000106,D#,0.049701,1.153048,0.000249,1.548177,6.661969,11799239,0.000044,C,0,minor,major,mid
0.000017,G,0.032591,0.721127,0.000026,1.124236,2.267004,10093941,0.000013,D,0,major,minor,low
0.000119,B,0.028499,0.905982,0.000307,1.011317,6.011541,9266319,0.000041,A#,0,major,minor,mid
0.000008,F,0.032133,0.971407,0.000023,1.26554,2.599931,9537242,0.000005,F,3.030303,major,major,low
0.000021,D,0.023342,0.602845,0.000106,0.523272,4.351462,7268257.5,0.000021,A#,0,major,minor,low
0.000172,D#,0.036907,1.448268,0.000198,1.549746,7.5762,6763363,0.000097,G,0,minor,major,low
0.000053,D,0.030017,1.281415,0.000065,1.226565,4.456529,11180897,0.000026,D,0,minor,minor,high
0.000041,F,0.038542,1.043202,0.000414,1.420301,5.228856,10694536,0.000025,F,5.882353,minor,major,low
0.000012,D,0.030956,1.038472,0.000026,1.092677,2.724455,8851147,0.000007,G,0,major,major,low
0.00005,G,0.043594,0.780749,0.000217,1.311942,3.668101,9846030,0.000021,A#,0,major,minor,mid
0.000018,A#,0.030725,1.003228,0.000048,1.154911,3.206285,9497824,0.000007,D,0,major,major,low
